,Domain,Phylum,Class,Order,Family,Genus,Species
OUT1,B,S,NB,non-Bitter,NB,b,11
OUT2,B,S,NB,non-Bitter,NB,b,7
OUT3,B,S,NB,non-Bitter,NB,b,11
OUT4,B,S,NB,Bitter,NB,b,7
OUT5,B,S,NB,non-Bitter,NB,b,12
OUT6,B,S,NB,non-Bitter,NB,b,11
OUT7,B,S,NB,non-Bitter,NB,b,12
OUT8,B,S,NB,non-Bitter,NB,b,7
OUT9,B,S,NB,Bitter,NB,b,14
OUT10,B,S,NB,Bitter,NB,b,14
OUT11,B,S,NB,Bitter,NB,b,14
OUT12,B,S,NB,Bitter,NB,b,14
OUT13,B,S,NB,Bitter,NB,b,14
OUT14,B,S,NB,Bitter,NB,b,12
OUT15,B,S,NB,Bitter,NB,b,11
OUT16,B,S,NB,Bitter,NB,b,4
OUT17,B,S,NB,Bitter,NB,b,10
OUT18,B,S,NB,Bitter,NB,b,5
OUT19,B,S,NB,Bitter,NB,b,9
OUT20,B,S,NB,Bitter,NB,b,6
OUT21,B,S,NB,Bitter,NB,b,5
OUT22,B,S,NB,non-Bitter,NB,b,11
OUT23,B,S,NB,non-Bitter,NB,b,8
OUT24,B,S,NB,Bitter,NB,b,10
OUT25,B,S,NB,Bitter,NB,b,7
OUT26,B,S,NB,non-Bitter,NB,b,14
OUT27,B,S,NB,non-Bitter,NB,b,5
OUT28,B,S,NB,Bitter,NB,b,13
OUT29,B,S,NB,non-Bitter,NB,b,6
OUT30,B,S,NB,Bitter,NB,b,14
OUT31,B,S,NB,non-Bitter,NB,b,14
OUT32,B,S,NB,non-Bitter,NB,b,14
OUT33,B,S,NB,non-Bitter,NB,b,9
OUT34,B,S,NB,non-Bitter,NB,b,7
OUT35,B,S,NB,non-Bitter,NB,b,14
OUT36,B,S,NB,non-Bitter,NB,b,14
OUT37,B,S,NB,Bitter,NB,b,11
OUT38,B,S,NB,Bitter,NB,b,14
OUT39,B,S,NB,Bitter,NB,b,8
OUT40,B,S,NB,non-Bitter,NB,b,14
